service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
23M-H50M000S-80-S,1,1,1,1,1,0,0,20230327,20230616
23M-H50M000S-80-SV,0,0,0,0,1,0,0,20230327,20230616
23M-H54M000S-81-S,1,1,1,1,1,0,0,20230327,20230616
23M-H55M000S-82-S,1,1,1,1,1,0,0,20230327,20230616
23M-H55M000S-82-SV,0,0,0,0,1,0,0,20230327,20230616
23M-H56M000S-81-S,1,1,1,1,1,0,0,20230327,20230616
23M-H56M000S-81-SV,0,0,0,0,1,0,0,20230327,20230616
23M-H57M000S-84-S,1,1,1,1,1,0,0,20230327,20230616
23M-H58M000S-84-S,1,1,1,1,1,0,0,20230327,20230616
23M-H59M000S-84-S,1,1,1,1,1,0,0,20230327,20230616
23M-H59M000S-84-SV,0,0,0,0,1,0,0,20230327,20230616
23M-H60M000S-82-S,1,1,1,1,1,0,0,20230327,20230616
23M-H62M000S-00-S,1,1,1,1,1,0,0,20230327,20230616
23M-GLOBAUX-02-S,1,1,1,1,1,0,0,20230327,20230616
23M-H50M000A-80-A,0,0,0,0,0,1,0,20230401,20230617
23M-H54M000A-03-A,0,0,0,0,0,1,0,20230401,20230617
23M-H55M000A-03-A,0,0,0,0,0,1,0,20230401,20230617
23M-H56M000A-01-A,0,0,0,0,0,1,0,20230401,20230617
23M-H57M000A-80-A,0,0,0,0,0,1,0,20230401,20230617
23M-H58M000A-05-A,0,0,0,0,0,1,0,20230401,20230617
23M-H59M000A-82-A,0,0,0,0,0,1,0,20230401,20230617
23M-H60M000A-80-A,0,0,0,0,0,1,0,20230401,20230617
23M-H62M000A-00-A,0,0,0,0,0,1,0,20230401,20230617
23M-GLOBAUX-00-A,0,0,0,0,0,1,0,20230401,20230617
23M-H50M000I-80-I,0,0,0,0,0,0,1,20230402,20230618
23M-H54M000I-82-I,0,0,0,0,0,0,1,20230402,20230618
23M-H55M000I-03-I,0,0,0,0,0,0,1,20230402,20230618
23M-H56M000I-01-I,0,0,0,0,0,0,1,20230402,20230618
23M-H57M000I-80-I,0,0,0,0,0,0,1,20230402,20230618
23M-H58M000I-04-I,0,0,0,0,0,0,1,20230402,20230618
23M-H59M000I-82-I,0,0,0,0,0,0,1,20230402,20230618
23M-H60M000I-80-I,0,0,0,0,0,0,1,20230402,20230618
23M-H62M000I-00-I,0,0,0,0,0,0,1,20230402,20230618
23M-GLOBAUX-00-I,0,0,0,0,0,0,1,20230402,20230618
23M-H50M100F-01-F1,0,0,0,0,1,0,0,20230407,20230407
23M-H54M100F-81-F1,0,0,0,0,1,0,0,20230407,20230407
23M-H55M100F-03-F1,0,0,0,0,1,0,0,20230407,20230407
23M-H56M100F-01-F1,0,0,0,0,1,0,0,20230407,20230407
23M-H57M100F-80-F1,0,0,0,0,1,0,0,20230407,20230407
23M-H58M100F-06-F1,0,0,0,0,1,0,0,20230407,20230407
23M-H59M100F-02-F1,0,0,0,0,1,0,0,20230407,20230407
23M-H60M100F-80-F1,0,0,0,0,1,0,0,20230407,20230407
23M-H62M100F-01-F1,0,0,0,0,1,0,0,20230407,20230407
23M-GLOBAUX-00-F1,0,0,0,0,1,0,0,20230407,20230407
23M-H50M200F-80-F2,1,0,0,0,0,0,0,20230410,20230410
23M-H54M200F-11-F2,1,0,0,0,0,0,0,20230410,20230410
23M-H55M200F-03-F2,1,0,0,0,0,0,0,20230410,20230410
23M-H56M200F-01-F2,1,0,0,0,0,0,0,20230410,20230410
23M-H57M200F-80-F2,1,0,0,0,0,0,0,20230410,20230410
23M-H58M200F-03-F2,1,0,0,0,0,0,0,20230410,20230410
23M-H59M200F-80-F2,1,0,0,0,0,0,0,20230410,20230410
23M-H60M200F-80-F2,1,0,0,0,0,0,0,20230410,20230410
23M-H62M200F-01-F2,1,0,0,0,0,0,0,20230410,20230410
23M-GLOBAUX-00-F2,1,0,0,0,0,0,0,20230410,20230410
23M-H50M300F-02-F3,1,0,0,0,0,0,0,20230522,20230522
23M-H54M300F-80-F3,1,0,0,0,0,0,0,20230522,20230522
23M-H55M300F-03-F3,1,0,0,0,0,0,0,20230522,20230522
23M-H56M300F-01-F3,1,0,0,0,0,0,0,20230522,20230522
23M-H57M300F-80-F3,1,0,0,0,0,0,0,20230522,20230522
23M-H58M300F-02-F3,1,0,0,0,0,0,0,20230522,20230522
23M-H59M300F-02-F3,1,0,0,0,0,0,0,20230522,20230522
23M-H60M300F-80-F3,1,0,0,0,0,0,0,20230522,20230522
23M-H62M300F-00-F3,1,0,0,0,0,0,0,20230522,20230522
23M-GLOBAUX-00-F3,1,0,0,0,0,0,0,20230522,20230522
23U-H50U000S-80-S,1,1,1,1,1,0,0,20230619,20230825
23U-H50U000S-80-SV,0,0,0,0,1,0,0,20230619,20230825
23U-H54U000S-83-S,1,1,1,1,1,0,0,20230619,20230825
23U-H55U000S-80-S,1,1,1,1,1,0,0,20230619,20230825
23U-H55U000S-80-SV,0,0,0,0,1,0,0,20230619,20230825
23U-H56U000S-81-S,1,1,1,1,1,0,0,20230619,20230825
23U-H56U000S-81-SV,0,0,0,0,1,0,0,20230619,20230825
23U-H57U000S-80-S,1,1,1,1,1,0,0,20230619,20230825
23U-H58U000S-80-S,1,1,1,1,1,0,0,20230619,20230825
23U-H59U000S-86-S,1,1,1,1,1,0,0,20230619,20230825
23U-H59U000S-86-SV,0,0,0,0,1,0,0,20230619,20230825
23U-H60U000S-82-S,1,1,1,1,1,0,0,20230619,20230825
23U-H62U000S-80-S,1,1,1,1,1,0,0,20230619,20230825
23U-GLOBAUX-01-S,1,1,1,1,1,0,0,20230619,20230825
23U-H50U100F-80-F1,0,0,0,0,0,1,0,20230624,20230624
23U-H54U100F-80-F1,0,0,0,0,0,1,0,20230624,20230624
23U-H55U100F-80-F1,0,0,0,0,0,1,0,20230624,20230624
23U-H56U100F-81-F1,0,0,0,0,0,1,0,20230624,20230624
23U-H57U100F-80-F1,0,0,0,0,0,1,0,20230624,20230624
23U-H58U100F-00-F1,0,0,0,0,0,1,0,20230624,20230624
23U-H59U100F-82-F1,0,0,0,0,0,1,0,20230624,20230624
23U-H60U100F-81-F1,0,0,0,0,0,1,0,20230624,20230624
23U-H62U100F-81-F1,0,0,0,0,0,1,0,20230624,20230624
23U-GLOBAUX-00-F1,0,0,0,0,0,1,0,20230624,20230624
23U-H50U000I-80-I,0,0,0,0,0,0,1,20230625,20230827
23U-H54U000I-80-I,0,0,0,0,0,0,1,20230625,20230827
23U-H55U000I-80-I,0,0,0,0,0,0,1,20230625,20230827
23U-H56U000I-81-I,0,0,0,0,0,0,1,20230625,20230827
23U-H57U000I-80-I,0,0,0,0,0,0,1,20230625,20230827
23U-H58U000I-00-I,0,0,0,0,0,0,1,20230625,20230827
23U-H59U000I-83-I,0,0,0,0,0,0,1,20230625,20230827
23U-H60U000I-81-I,0,0,0,0,0,0,1,20230625,20230827
23U-H62U000I-80-I,0,0,0,0,0,0,1,20230625,20230827
23U-GLOBAUX-02-I,0,0,0,0,0,0,1,20230625,20230827
23U-H50U200F-80-F2,0,0,0,0,0,1,0,20230701,20230701
23U-H54U200F-80-F2,0,0,0,0,0,1,0,20230701,20230701
23U-H55U200F-80-F2,0,0,0,0,0,1,0,20230701,20230701
23U-H56U200F-81-F2,0,0,0,0,0,1,0,20230701,20230701
23U-H57U200F-80-F2,0,0,0,0,0,1,0,20230701,20230701
23U-H58U200F-00-F2,0,0,0,0,0,1,0,20230701,20230701
23U-H59U200F-82-F2,0,0,0,0,0,1,0,20230701,20230701
23U-H60U200F-81-F2,0,0,0,0,0,1,0,20230701,20230701
23U-H62U200F-81-F2,0,0,0,0,0,1,0,20230701,20230701
23U-GLOBAUX-00-F2,0,0,0,0,0,1,0,20230701,20230701
23U-H50U000A-80-A,0,0,0,0,0,1,0,20230708,20230826
23U-H54U000A-80-A,0,0,0,0,0,1,0,20230708,20230826
23U-H55U000A-80-A,0,0,0,0,0,1,0,20230708,20230826
23U-H56U000A-81-A,0,0,0,0,0,1,0,20230708,20230826
23U-H57U000A-80-A,0,0,0,0,0,1,0,20230708,20230826
