service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
23J-H50J000S-82-S,1,1,1,1,1,0,0,20230109,20230324
23J-H50J000S-82-SV,0,0,0,0,1,0,0,20230109,20230324
23J-H54J000S-80-S,1,1,1,1,1,0,0,20230109,20230324
23J-H55J000S-80-S,1,1,1,1,1,0,0,20230109,20230324
23J-H55J000S-80-SV,0,0,0,0,1,0,0,20230109,20230324
23J-H56J000S-82-S,1,1,1,1,1,0,0,20230109,20230324
23J-H56J000S-82-SV,0,0,0,0,1,0,0,20230109,20230324
23J-H57J000S-81-S,1,1,1,1,1,0,0,20230109,20230324
23J-H58J000S-83-S,1,1,1,1,1,0,0,20230109,20230324
23J-H59J000S-90-S,1,1,1,1,1,0,0,20230109,20230324
23J-H59J000S-90-SV,0,0,0,0,1,0,0,20230109,20230324
23J-H59J000S-91-S,1,1,1,1,1,0,0,20230109,20230324
23J-H59J000S-91-SV,0,0,0,0,1,0,0,20230109,20230324
23J-H60J000S-82-S,1,1,1,1,1,0,0,20230109,20230324
23J-H62J000S-00-S,1,1,1,1,1,0,0,20230109,20230324
23J-GLOBAUX-22-S,1,1,1,1,1,0,0,20230109,20230324
23J-H50J000A-05-A,0,0,0,0,0,1,0,20230114,20230325
23J-H54J000A-00-A,0,0,0,0,0,1,0,20230114,20230325
23J-H55J000A-01-A,0,0,0,0,0,1,0,20230114,20230325
23J-H56J000A-01-A,0,0,0,0,0,1,0,20230114,20230325
23J-H57J000A-80-A,0,0,0,0,0,1,0,20230114,20230325
23J-H58J000A-01-A,0,0,0,0,0,1,0,20230114,20230325
23J-H59J000A-81-A,0,0,0,0,0,1,0,20230114,20230325
23J-H60J000A-80-A,0,0,0,0,0,1,0,20230114,20230325
23J-H62J000A-00-A,0,0,0,0,0,1,0,20230114,20230325
23J-GLOBAUX-22-A,0,0,0,0,0,1,0,20230114,20230325
23J-H50J000I-04-I,0,0,0,0,0,0,1,20230115,20230326
23J-H54J000I-00-I,0,0,0,0,0,0,1,20230115,20230326
23J-H55J000I-02-I,0,0,0,0,0,0,1,20230115,20230326
23J-H56J000I-01-I,0,0,0,0,0,0,1,20230115,20230326
23J-H57J000I-80-I,0,0,0,0,0,0,1,20230115,20230326
23J-H58J000I-02-I,0,0,0,0,0,0,1,20230115,20230326
23J-H59J000I-81-I,0,0,0,0,0,0,1,20230115,20230326
23J-H60J000I-80-I,0,0,0,0,0,0,1,20230115,20230326
23J-H62J000I-00-I,0,0,0,0,0,0,1,20230115,20230326
23J-GLOBAUX-23-I,0,0,0,0,0,0,1,20230115,20230326
23J-GLOBAUX-12-A,0,0,0,0,0,1,0,20230225,20230225
23J-H50JV00S-84-S,1,1,1,1,1,0,0,20230227,20230303
23J-H50JV00S-84-SV,0,0,0,0,1,0,0,20230227,20230303
23J-H54JV00S-80-S,1,1,1,1,1,0,0,20230227,20230303
23J-H55JV00S-83-S,1,1,1,1,1,0,0,20230227,20230303
23J-H55JV00S-83-SV,0,0,0,0,1,0,0,20230227,20230303
23J-H56JV00S-82-S,1,1,1,1,1,0,0,20230227,20230303
23J-H56JV00S-82-SV,0,0,0,0,1,0,0,20230227,20230303
23J-H57JV00S-80-S,1,1,1,1,1,0,0,20230227,20230303
23J-H58JV00S-81-S,1,1,1,1,1,0,0,20230227,20230303
23J-H59JV00S-85-S,1,1,1,1,1,0,0,20230227,20230303
