service_id,date,exception_type
23M-H50M000S-80-S,20230407,2
23M-H50M000S-80-SV,20230407,2
23M-H50M000S-80-S,20230410,2
23M-H50M000S-80-S,20230522,2
23M-H54M000S-81-S,20230407,2
23M-H54M000S-81-S,20230410,2
23M-H54M000S-81-S,20230522,2
23M-H55M000S-82-S,20230407,2
23M-H55M000S-82-SV,20230407,2
23M-H55M000S-82-S,20230410,2
23M-H55M000S-82-S,20230522,2
23M-H56M000S-81-S,20230407,2
23M-H56M000S-81-SV,20230407,2
23M-H56M000S-81-S,20230410,2
23M-H56M000S-81-S,20230522,2
23M-H57M000S-84-S,20230407,2
23M-H57M000S-84-S,20230410,2
23M-H57M000S-84-S,20230522,2
23M-H58M000S-84-S,20230407,2
23M-H58M000S-84-S,20230410,2
23M-H58M000S-84-S,20230522,2
23M-H59M000S-84-S,20230407,2
23M-H59M000S-84-SV,20230407,2
23M-H59M000S-84-S,20230410,2
23M-H59M000S-84-S,20230522,2
23M-H60M000S-82-S,20230407,2
23M-H60M000S-82-S,20230410,2
23M-H60M000S-82-S,20230522,2
23M-H62M000S-00-S,20230407,2
23M-H62M000S-00-S,20230410,2
23M-H62M000S-00-S,20230522,2
23M-GLOBAUX-02-S,20230407,2
23M-GLOBAUX-02-S,20230410,2
23M-GLOBAUX-02-S,20230522,2
