service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
22U-H50U000S-82-S,1,1,1,1,1,0,0,20220613,20220819
22U-H50U000S-82-SV,0,0,0,0,1,0,0,20220613,20220819
22U-H54U000S-82-S,1,1,1,1,1,0,0,20220613,20220819
22U-H55U000S-01-S,1,1,1,1,1,0,0,20220613,20220819
22U-H55U000S-01-SV,0,0,0,0,1,0,0,20220613,20220819
22U-H56U000S-80-S,1,1,1,1,1,0,0,20220613,20220819
22U-H56U000S-80-SV,0,0,0,0,1,0,0,20220613,20220819
22U-H57U000S-81-S,1,1,1,1,1,0,0,20220613,20220819
22U-H58U000S-80-S,1,1,1,1,1,0,0,20220613,20220819
22U-H59U000S-81-S,1,1,1,1,1,0,0,20220613,20220819
22U-H59U000S-81-SV,0,0,0,0,1,0,0,20220613,20220819
22U-H60U000S-80-S,1,1,1,1,1,0,0,20220613,20220819
22U-H62U000S-00-S,1,1,1,1,1,0,0,20220613,20220819
22U-GLOBAUX-00-S,1,1,1,1,1,0,0,20220613,20220819
22U-H50U000A-06-A,0,0,0,0,0,1,0,20220618,20220820
22U-H54U000A-81-A,0,0,0,0,0,1,0,20220618,20220820
22U-H55U000A-04-A,0,0,0,0,0,1,0,20220618,20220820
22U-H56U000A-00-A,0,0,0,0,0,1,0,20220618,20220820
22U-H57U000A-01-A,0,0,0,0,0,1,0,20220618,20220820
22U-H58U000A-00-A,0,0,0,0,0,1,0,20220618,20220820
22U-H59U000A-81-A,0,0,0,0,0,1,0,20220618,20220820
22U-H60U000A-01-A,0,0,0,0,0,1,0,20220618,20220820
22U-H62U000A-00-A,0,0,0,0,0,1,0,20220618,20220820
22U-GLOBAUX-00-A,0,0,0,0,0,1,0,20220618,20220820
22U-H50U000I-05-I,0,0,0,0,0,0,1,20220619,20220821
22U-H54U000I-81-I,0,0,0,0,0,0,1,20220619,20220821
22U-H55U000I-01-I,0,0,0,0,0,0,1,20220619,20220821
22U-H56U000I-00-I,0,0,0,0,0,0,1,20220619,20220821
22U-H57U000I-01-I,0,0,0,0,0,0,1,20220619,20220821
22U-H58U000I-00-I,0,0,0,0,0,0,1,20220619,20220821
22U-H59U000I-82-I,0,0,0,0,0,0,1,20220619,20220821
22U-H60U000I-01-I,0,0,0,0,0,0,1,20220619,20220821
22U-H62U000I-00-I,0,0,0,0,0,0,1,20220619,20220821
22U-GLOBAUX-00-I,0,0,0,0,0,0,1,20220619,20220821
22U-H50U100F-02-F1,0,0,0,0,1,0,0,20220624,20220624
22U-H54U100F-01-F1,0,0,0,0,1,0,0,20220624,20220624
22U-H55U100F-01-F1,0,0,0,0,1,0,0,20220624,20220624
22U-H56U100F-01-F1,0,0,0,0,1,0,0,20220624,20220624
22U-H57U100F-80-F1,0,0,0,0,1,0,0,20220624,20220624
22U-H58U100F-00-F1,0,0,0,0,1,0,0,20220624,20220624
22U-H59U100F-01-F1,0,0,0,0,1,0,0,20220624,20220624
22U-H60U100F-01-F1,0,0,0,0,1,0,0,20220624,20220624
22U-H62U100F-01-F1,0,0,0,0,1,0,0,20220624,20220624
22U-GLOBAUX-00-F1,0,0,0,0,1,0,0,20220624,20220624
22U-H50U200F-01-F2,0,0,0,0,1,0,0,20220701,20220701
22U-H54U200F-80-F2,0,0,0,0,1,0,0,20220701,20220701
22U-H55U200F-01-F2,0,0,0,0,1,0,0,20220701,20220701
22U-H56U200F-01-F2,0,0,0,0,1,0,0,20220701,20220701
22U-H57U200F-80-F2,0,0,0,0,1,0,0,20220701,20220701
22U-H58U200F-00-F2,0,0,0,0,1,0,0,20220701,20220701
22U-H59U200F-00-F2,0,0,0,0,1,0,0,20220701,20220701
22U-H60U200F-03-F2,0,0,0,0,1,0,0,20220701,20220701
22U-H62U200F-01-F2,0,0,0,0,1,0,0,20220701,20220701
22U-GLOBAUX-00-F2,0,0,0,0,1,0,0,20220701,20220701
22S-H50S000S-81-S,1,1,1,1,1,0,0,20220822,20221021
22S-H50S000S-81-SV,0,0,0,0,1,0,0,20220822,20221021
22S-H54S000S-81-S,1,1,1,1,1,0,0,20220822,20221021
22S-H55S000S-80-S,1,1,1,1,1,0,0,20220822,20221021
