service_id,date,exception_type
22U-H50U000S-82-S,20220624,2
22U-H50U000S-82-SV,20220624,2
22U-H50U000S-82-S,20220701,2
22U-H50U000S-82-SV,20220701,2
22S-H50S000S-81-S,20220905,2
22S-H50S000S-81-S,20221010,2
22U-H54U000S-82-S,20220624,2
22U-H54U000S-82-S,20220701,2
22S-H54S000S-81-S,20220905,2
22S-H54S000S-81-S,20221010,2
22U-H55U000S-01-S,20220624,2
22U-H55U000S-01-SV,20220624,2
22U-H55U000S-01-S,20220701,2
22U-H55U000S-01-SV,20220701,2
22S-H55S000S-80-S,20220905,2
22S-H55S000S-80-S,20221010,2
22U-H56U000S-80-S,20220624,2
22U-H56U000S-80-SV,20220624,2
22U-H56U000S-80-S,20220701,2
22U-H56U000S-80-SV,20220701,2
22S-H56S000S-80-S,20220905,2
22S-H56S000S-80-S,20221010,2
22U-H57U000S-81-S,20220624,2
22U-H57U000S-81-S,20220701,2
22S-H57S000S-82-S,20220905,2
22S-H57S000S-82-S,20221010,2
22U-H58U000S-80-S,20220624,2
22U-H58U000S-80-S,20220701,2
22S-H58S000S-81-S,20220905,2
22S-H58S000S-81-S,20221010,2
22U-H59U000S-81-S,20220624,2
22U-H59U000S-81-SV,20220624,2
22U-H59U000S-81-S,20220701,2
22U-H59U000S-81-SV,20220701,2
22S-H59S000S-82-S,20220905,2
22S-H59S000S-82-S,20221010,2
22U-H60U000S-80-S,20220624,2
22U-H60U000S-80-S,20220701,2
22S-H60S000S-80-S,20220905,2
22S-H60S000S-80-S,20221010,2
22U-H62U000S-00-S,20220624,2
22U-H62U000S-00-S,20220701,2
22S-H62S000S-00-S,20220905,2
22S-H62S000S-00-S,20221010,2
22U-GLOBAUX-00-S,20220624,2
22U-GLOBAUX-00-S,20220701,2
22S-GLOBAUX-50-S,20220905,2
22S-GLOBAUX-50-S,20221010,2
